Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string
Rafael Delorme,Rafael Delorme,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Delorme%2C%20Germinal%2C%203%20de%20diciembre%20de%201897%20%28cropped%29.jpg,Torre del Mar,+1867-01-01T00:00:00Z,+1897-11-29T00:00:00Z,,,,,73743
Rafael Dieste,Rafael Dieste,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Dieste%201926.jpg,Rianjo,+1899-01-29T00:00:00Z,+1981-10-15T00:00:00Z,,,,,6324
Rafael García Goyena,Rafael García Goyena,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/RafaelGarc%C3%ADaGoyena.jpeg,Departamento de Guayaquil,+1766-07-31T00:00:00Z,+1823-11-09T00:00:00Z,,,,,782
Rafael Lapesa Melgar,Rafael Lapesa Melgar,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Lapesa.jpg,Valencia,+1908-02-08T00:00:00Z,+2001-02-01T00:00:00Z,,,,"Premio Princesa de Asturias de las Letras, Medalla de Oro al Mérito en las Bellas Artes, caballero de la Legión de Honor, doctor honoris causa, Gran Cruz de la Orden de Isabel la Católica, Gran Cruz de la Orden Civil de Alfonso X el Sabio, doctor honoris causa por la Universidad de Valladolid",70064
Rafael López de Haro,Rafael López de Haro,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20L%C3%B3pez%20de%20Haro.png,San Clemente,+1876-07-05T00:00:00Z,+1967-03-21T00:00:00Z,"Novela, Dramaturgia",,,,12156
Rafael María Baralt,Rafael María Baralt,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Mar%C3%ADa%20Baralt.jpg,Maracaibo,+1810-07-03T00:00:00Z,+1860-01-02T00:00:00Z,,,,,66601
Rafael María Liern,Rafael María Liern,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Mar%C3%ADa%20Liern%2C%20de%20Mecachis%2C%20La%20Semana%20C%C3%B3mica%2C%2007-09-1888%20%2867%29.jpg,Valencia,+1832-04-11T00:00:00Z,+1897-11-13T00:00:00Z,"Teatro",,,,2724
Rafael María de Labra Cadrana,Rafael María de Labra Cadrana,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20M.%20de%20Labra.jpg,La Habana,+1840-09-07T00:00:00Z,+1918-04-16T00:00:00Z,,,,,41359
Rafael Masó i Valentí,Rafael Masó i Valentí,España,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Mas%C3%B3%20i%20Valent%C3%AD.jpg,Gerona,+1880-08-16T00:00:00Z,+1935-07-13T00:00:00Z,,"Modernismo, Novecentismo","Farinera Teixidor",,11129
Rafael Obligado,Rafael Obligado,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/RafaelObligado.JPG,Buenos Aires,+1851-01-27T00:00:00Z,+1920-03-08T00:00:00Z,"Poesía",,,,3185
