Label,P1:string,P2:string,P3:url,P4:string,P5:time,P6:time,P7:string,P8:string,P9:string,P10:string,P11:string,QID
Agustín Yáñez,Agustín Yáñez,México,http://commons.wikimedia.org/wiki/Special:FilePath/Agust%C3%ADn%20Y%C3%A1%C3%B1ez.JPG,Guadalajara,+1904-05-04T00:00:00Z,+1980-01-17T00:00:00Z,,,Al filo del agua,"Premio Nacional de Ciencias y Artes, Gran Oficial de la Orden El Sol del Perú",10098,Q11
Agustín de Figueroa,Agustín de Figueroa,España,http://commons.wikimedia.org/wiki/Special:FilePath/Agust%C3%ADn%20de%20Figueroa%201928.jpg,Madrid,+1903-01-01T00:00:00Z,+1988-05-20T00:00:00Z,Dramaturgia,,,,42122,Q12
Agustín de Foxá,Agustín de Foxá,España,http://commons.wikimedia.org/wiki/Special:FilePath/Tumba%20familia%20Fox%C3%A1%2001.jpg,calle de Atocha,+1906-02-28T00:00:00Z,+1959-06-30T00:00:00Z,Poesía,,,premio Mariano de Cavia,37032,Q13
Agustín de Montiano y Luyando,Agustín de Montiano y Luyando,España,http://commons.wikimedia.org/wiki/Special:FilePath/AgustinMontiano.jpg,Valladolid,+1697-02-28T00:00:00Z,+1764-11-01T00:00:00Z,,,,,30634,Q14
Agustín de Rojas Villandrando,Agustín de Rojas Villandrando,España,http://commons.wikimedia.org/wiki/Special:FilePath/Agust%C3%ADn%20de%20Rojas%20Villandrando.jpg,Madrid,+1572-01-01T00:00:00Z,+1635-01-01T00:00:00Z,,,,,68174,Q15
Alain-René Lesage,Alain-René Lesage,Francia,http://commons.wikimedia.org/wiki/Special:FilePath/Alain-Ren%C3%A9%20Lesage.png,Sarzeau,+1668-05-06T00:00:00Z,+1747-11-17T00:00:00Z,,,,,1894,Q16
Alan Deyermond,Alan Deyermond,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/HN%20DEYERMOND%20%2824%29.JPG,El Cairo,+1932-02-24T00:00:00Z,+2009-09-19T00:00:00Z,,,,doctor honoris causa por la Universidad de Valencia,5825,Q17
Alasdair Gray,Alasdair Gray,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Alasdair%20Gray%20%281994%29%20by%20Guenter%20Prust.jpg,Glasgow,+1934-12-28T00:00:00Z,+2019-12-29T00:00:00Z,Ciencia Ficción,,,Premio Guardián de Ficción,9937,Q18
Alberto Blest Gana,Alberto Blest Gana,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Blest%20Gana.JPG,Santiago,+1830-05-04T00:00:00Z,+1920-11-09T00:00:00Z,,,,,135,Q19
Alberto Gerchunoff,Alberto Gerchunoff,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Gerchunoff.jpg,Jmelnitsky,+1883-01-01T00:00:00Z,+1950-03-02T00:00:00Z,,,Los gauchos judíos,,6961,Q20
Alberto Girri,Alberto Girri,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Albertogirri.jpg,Buenos Aires,+1919-11-27T00:00:00Z,+1991-11-16T00:00:00Z,Poesía,,,,89880,Q21
Alberto Guillén,Alberto Guillén,Perú,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Guill%C3%A9n.jpg,Arequipa,+1897-01-20T00:00:00Z,+1935-10-20T00:00:00Z,,,,,10225,Q22
Alberto Hidalgo,Alberto Hidalgo,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/AlbertoHidalgo1.jpg,Arequipa,+1897-05-23T00:00:00Z,+1967-11-12T00:00:00Z,Poesía,"Vanguardismo, Colónida",,,10224,Q23
Alberto Insúa,Alberto Insúa,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Insua.png,La Habana,+1883-11-23T00:00:00Z,+1965-11-08T00:00:00Z,"Novela, Dramaturgia",,,,6841,Q24
Alberto Jiménez Fraud,Alberto Jiménez Fraud,España,http://commons.wikimedia.org/wiki/Special:FilePath/Bronze%20bust%20of%20Alberto%20Jim%C3%A9nez%20Fraud%20-%20Residencia%20de%20estudiantes.jpg,Málaga,+1883-02-04T00:00:00Z,+1964-04-23T00:00:00Z,,,,,74645,Q25
Alberto Lista,Alberto Lista,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto-Lista.jpg,Sevilla,+1775-10-15T00:00:00Z,+1848-10-05T00:00:00Z,Poesía,,,,884,Q26
Alberto Nin Frías,Alberto Nin Frías,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Nin%20Frias%201.jpg,Montevideo,+1878-11-09T00:00:00Z,+1937-03-27T00:00:00Z,,,,,37318,Q27
Alberto Zum Felde,Alberto Zum Felde,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Zum%20Felde.jpg,Bahía Blanca,+1889-01-01T00:00:00Z,+1976-05-06T00:00:00Z,"Ensayo, Crítica literaria",,,,70811,Q28
Alberto del Solar,Alberto del Solar,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/1891-1892%2C%20Almanaque%20Sud-americano%2C%20Alberto%20del%20Solar%20%28cropped%29.jpg,Santiago,+1860-01-01T00:00:00Z,+1920-01-01T00:00:00Z,,,Contra la marea,,2842,Q29
Alcides Arguedas,Alcides Arguedas,Bolivia,http://commons.wikimedia.org/wiki/Special:FilePath/Arguedas%2C%20Alcides%2006.jpg,La Paz,+1879-07-15T00:00:00Z,+1946-05-06T00:00:00Z,,,,,13011,Q30
Aldous Huxley,Aldous Huxley,Reino Unido,http://commons.wikimedia.org/wiki/Special:FilePath/Aldous%20Huxley%201947.png,Godalming,+1894-07-26T00:00:00Z,+1963-11-22T00:00:00Z,,,"Contrapunto, Un mundo feliz, Nueva visita a un mundo feliz, Las puertas de la percepción, La filosofía perenne, La isla, Cielo e infierno, El mono y la esencia, El genio y la diosa, Arte, amor y todo lo demás, Who Are We?",Premio James Tait Black,37746,Q31
Alejandra Pizarnik,Alejandra Pizarnik,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Pizarnik%20byn.jpg,Avellaneda,+1936-04-29T00:00:00Z,+1972-09-25T00:00:00Z,"Poesía, Ensayo",,,"Programa Fulbright, Beca Guggenheim",59192,Q32
Alejandro Casona,Alejandro Casona,España,http://commons.wikimedia.org/wiki/Special:FilePath/Busto%20de%20Alejandro%20Casona-2.JPG,Besullo (Narcea),+1903-03-23T00:00:00Z,+1965-09-17T00:00:00Z,"Poesía, Teatro, Dramaturgo",,,Premio Lope de Vega de Teatro,2948,Q33
Alejandro Finisterre,Alejandro Finisterre,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Campos%20Ram%C3%ADrez%20%28MUNCYT%2C%20Eulogia%20Merle%29.jpg,Finisterre,+1919-05-06T00:00:00Z,+2007-02-09T00:00:00Z,,,,,15400,Q34
Alejandro Magariños Cervantes,Alejandro Magariños Cervantes,Uruguay,http://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Magari%C3%B1os%20Cervantes.gif,Montevideo,+1825-10-03T00:00:00Z,+1893-03-08T00:00:00Z,,,,,2779,Q35
Alejandro Pidal y Mon,Alejandro Pidal y Mon,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Pidal%20y%20Mon.png,Madrid,+1846-08-26T00:00:00Z,+1913-10-19T00:00:00Z,,,,,1970,Q36
Alejandro Sawa,Alejandro Sawa,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Sawa.jpg,Sevilla,+1862-03-15T00:00:00Z,+1909-03-03T00:00:00Z,Novela,,,,165,Q37
Alejandro Tapia y Rivera,Alejandro Tapia y Rivera,España,http://commons.wikimedia.org/wiki/Special:FilePath/Tapia%20Y%20Rivera.jpg,San Juan,+1826-11-12T00:00:00Z,+1882-07-19T00:00:00Z,,,,,3344,Q38
Alejo Carpentier,Alejo Carpentier,Cuba,http://commons.wikimedia.org/wiki/Special:FilePath/Alejocarpentier.jpg,Lausana,+1904-12-26T00:00:00Z,+1980-04-24T00:00:00Z,,,"El reino de este mundo, El Siglo de las Luces","Premio Miguel de Cervantes, Premio Mundial Cino Del Duca, Premio Médicis extranjero",278,Q39
Alexander Pope,Alexander Pope,Reino de Gran Bretaña,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Pope%20by%20Michael%20Dahl.jpg,City de Londres,+1688-05-21T00:00:00Z,+1744-05-30T00:00:00Z,Poesía,,"An Essay on Criticism, El rizo robado, Eloísa a Abelardo",,69542,Q40
Alexandre de Riquer,Alexandre de Riquer,España,http://commons.wikimedia.org/wiki/Special:FilePath/RiquerRetratJoventut.jpg,Calaf,+1856-05-03T00:00:00Z,+1920-11-13T00:00:00Z,Poesía,Modernismo,,,3644,Q41
Alfonsina Storni,Alfonsina Storni,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/AlfosinaStorni.jpg,Lugano,+1892-05-29T00:00:00Z,+1938-10-25T00:00:00Z,Poesía,Modernismo,,,3394,Q42
Alfonso Albalá,Alfonso Albalá,España,http://commons.wikimedia.org/wiki/Special:FilePath/Poes%C3%ADa%20completa%20%281998%29.jpg,Coria,+1924-01-01T00:00:00Z,+1973-10-05T00:00:00Z,,,,,44611,Q43
Alfonso Canales,Alfonso Canales,España,http://commons.wikimedia.org/wiki/Special:FilePath/Busto%20de%20Alfonso%20Canales.jpg,Málaga,+1923-01-01T00:00:00Z,+2010-11-18T00:00:00Z,Poesía,,,"Premio Nacional de Poesía, Premio Internacional de Poesía Ciudad de Melilla, Premio de la Crítica de poesía castellana, doctor honoris causa",8256,Q44
Alfonso Cravioto,Alfonso Cravioto,México,http://commons.wikimedia.org/wiki/Special:FilePath/ALFONSO%20CRAVIOTO%201883%20-%201955%20ABOGADO%2C%20POLITICO%20Y%20ESCRITOR%20MEXICANO%20%2813451346643%29.jpg,Pachuca de Soto,+1884-01-24T00:00:00Z,+1955-09-11T00:00:00Z,,,,,54230,Q45
Alfonso López de Corella,Alfonso López de Corella,Monarquía Hispánica,http://commons.wikimedia.org/wiki/Special:FilePath/Monumento%20a%20Alonso%20L%C3%B3pez%20de%20Corella%20%28Corella%2C%20Navarra%29.jpg,Corella,+1513-01-01T00:00:00Z,+1584-01-01T00:00:00Z,,,,,16411,Q46
Alfonso Pérez Nieva,Alfonso Pérez Nieva,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20P%C3%A9rez%20Nieva%2C%20de%20Cilla%2C%20Madrid%20C%C3%B3mico%2C%2015-02-1890.jpg,Madrid,+1859-05-12T00:00:00Z,+1931-12-24T00:00:00Z,,,,,3515,Q47
Alfonso Reyes Ochoa,Alfonso Reyes Ochoa,México,http://commons.wikimedia.org/wiki/Special:FilePath/ALFONSO%20REYES%201889%20-%201959%20ESCRITOR%20MEXICANO%20%2813451343033%29.jpg,Monterrey,+1889-05-17T00:00:00Z,+1959-12-27T00:00:00Z,,,,"Premio Nacional de Ciencias y Artes, doctorado honoris causa por la Universidad Nacional Autónoma de México",8501,Q48
Alfonso Vidal y Planas,Alfonso Vidal y Planas,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20Vidal%20y%20Planas.png,Santa Coloma de Farnés,+1891-01-01T00:00:00Z,+1965-01-01T00:00:00Z,Teatro,,,,47495,Q49
Alfonso X de Castilla,Alfonso X de Castilla,Corona de Castilla,http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20X%20el%20Sabio%20en%20El%20libro%20de%20los%20juegos.jpg,Toledo,+1221-11-30T00:00:00Z,+1284-04-11T00:00:00Z,"Historia, Astronomía, Poesía",,,,63050,Q50
Alfonso de Acevedo,Alfonso de Acevedo,España,http://commons.wikimedia.org/wiki/Special:FilePath/Azevedo%2C%20Alonso%20de%20%E2%80%93%20Commentariorum%20iuris%20civili%20in%20Hispaniae%20regias%20constitutiones%2C%201583%20%E2%80%93%20BEIC%2014253924.jpg,Plasencia,+1518-01-01T00:00:00Z,+1598-01-01T00:00:00Z,,,,,39016,Q51
Alfonso de Valdés,Alfonso de Valdés,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20de%20valdes.jpg,Cuenca,+1490-01-01T00:00:00Z,+1532-10-03T00:00:00Z,,Humanismo renacentista,,,306,Q52
Alfredo Escobar y Ramírez,Alfredo Escobar y Ramírez,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alfredo%20Escobar%20Ram%C3%ADrez%20por%20Kaulak.png,Madrid,+1854-03-18T00:00:00Z,+1949-02-23T00:00:00Z,,,,"Gran Cruz de la Orden Civil de Alfonso X el Sabio, Gran Cruz de la Orden Civil de Alfonso XII",36596,Q53
Alfredo Pareja Díez Canseco,Alfredo Pareja Díez Canseco,Ecuador,http://commons.wikimedia.org/wiki/Special:FilePath/AlfredoParejaDiezcanseco%20%28cropped%29.jpg,Guayaquil,+1908-10-12T00:00:00Z,+1993-05-01T00:00:00Z,"Novela, Ensayo",,"Baldomera, Las tres ratas","Legión de Honor, Premio Eugenio Espejo, Gran Cruz de la Orden de la Corona, Gran Cruz de la Orden de Isabel la Católica, Gran Cruz de la Orden El Sol del Perú",3254,Q54
Alice Cary,Alice Cary,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20cary%20portrait%20in%20cary%20cottage.jpg,Cincinnati,+1820-04-26T00:00:00Z,+1871-02-12T00:00:00Z,,,,,79788,Q55
Alicia Morel,Alicia Morel,Chile,http://commons.wikimedia.org/wiki/Special:FilePath/Alicia%20Morel%20%28cropped%29.jpg,Santiago,+1921-07-26T00:00:00Z,+2017-03-01T00:00:00Z,Poesía,,,,35931,Q56
Alonso Remón,Alonso Remón,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alonso%20Rem%C3%B3n.jpg,Cuenca,+1561-01-01T00:00:00Z,+1632-01-01T00:00:00Z,,,,,10857,Q57
Alonso de Contreras,Alonso de Contreras,España,http://commons.wikimedia.org/wiki/Special:FilePath/Capit%C3%A1n%20Alonso%20de%20Contreras.jpg,Madrid,+1582-01-06T00:00:00Z,+1641-01-01T00:00:00Z,,,,,149,Q58
Alonso de Ercilla,Alonso de Ercilla,España,http://commons.wikimedia.org/wiki/Special:FilePath/AlonsoDeErcilla.jpg,Madrid,+1533-08-17T00:00:00Z,+1594-11-29T00:00:00Z,"Poesía, Narrativa poética",,,,510,Q59
Alonso de Ovalle,Alonso de Ovalle,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alonso%20de%20Ovalle.jpeg,Santiago,+1603-07-27T00:00:00Z,+1651-01-01T00:00:00Z,,,,,14260,Q60
Alonso de Santa Cruz,Alonso de Santa Cruz,España,http://commons.wikimedia.org/wiki/Special:FilePath/Alonso%20de%20Santa%20Cruz%20%28MUNCYT%2C%20Eulogia%20Merle%29.jpg,Sevilla,+1505-01-01T00:00:00Z,+1567-01-01T00:00:00Z,,,,,65009,Q61
Alonso de Villegas,Alonso de Villegas,España,http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20angel-villegas%20flos.jpg,Toledo,+1533-01-01T00:00:00Z,+1603-01-23T00:00:00Z,,,,,4621,Q62
Alí Chumacero,Alí Chumacero,México,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20chumacero.jpg,Acaponeta,+1917-07-09T00:00:00Z,+2010-10-22T00:00:00Z,,,,"Medalla Belisario Domínguez del Senado de la República, Premio Nacional de Ciencias y Artes, Premio Xavier Villaurrutia",70647,Q63
Amadeo Vives,Amadeo Vives,España,http://commons.wikimedia.org/wiki/Special:FilePath/Amadeo%20Vives.JPG,Collbató,+1871-11-18T00:00:00Z,+1932-12-01T00:00:00Z,"Ópera, zarzuela, Sardana",,,,55087,Q64
Ambrose Bierce,Ambrose Bierce,Estados Unidos,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrose%20Bierce-1.jpg,Condado de Meigs,+1842-06-24T00:00:00Z,+1914-01-01T00:00:00Z,Sátira,,"Diccionario del Diablo, La Maldita Cosa",,37986,Q65
Américo Castro,Américo Castro,España,http://commons.wikimedia.org/wiki/Special:FilePath/AMERICO%20CASTRO%201885%20CRITICO%20ESPA%C3%91OL%20%2813451217465%29.jpg,Cantagalo,+1885-05-04T00:00:00Z,+1972-07-25T00:00:00Z,,,,"Beca Guggenheim, Oficial de la Legión de Honor",2349,Q66
Ana Mariscal,Ana Mariscal,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Mariscal.jpg,Madrid,+1923-07-31T00:00:00Z,+1995-03-28T00:00:00Z,,,,Medalla de Oro al Mérito en las Bellas Artes,37033,Q67
Ana María Martínez Sagi,Ana María Martínez Sagi,España,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Maria%20Mart%C3%ADnez%20Sagi.png,Barcelona,+1907-02-16T00:00:00Z,+2000-01-02T00:00:00Z,Poesía,,,,57799,Q68
Ana María Matute,Ana María Matute,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20Mar%C3%ADa%20Matute.jpg,Tarragona,+1925-07-26T00:00:00Z,+2014-06-25T00:00:00Z,"Poesía, Novela",Generación del 50,"Olvidado rey Gudú, Aranmanoth, Los Mercaderes","Premio Miguel de Cervantes, Premio Fastenrath, Premio Nadal, Cruz de Sant Jordi, Premio Planeta, Premio Nacional de Literatura Infantil y Juvenil, Premio Café Gijón, Premio Ciudad de Alcalá",3390,Q69
Ana de Jesús,Ana de Jesús,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20de%20Jes%C3%BAs.jpg,Medina del Campo,+1545-12-15T00:00:00Z,+1621-03-04T00:00:00Z,Poesía,,,,15447,Q70
Ana de San Bartolomé,Ana de San Bartolomé,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ana%20de%20San%20Bartolom%C3%A9.jpg,Almendral de la Cañada,+1549-10-11T00:00:00Z,+1607-05-25T00:00:00Z,,,,,30731,Q71
Anastasio Chinchilla,Anastasio Chinchilla,España,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Anastasio%20Chinchilla.%20Wellcome%20L0001275.jpg,Ayora,+1801-01-01T00:00:00Z,+1867-01-01T00:00:00Z,,,,,15707,Q72
Anaïs Nin,Anaïs Nin,Francia,http://commons.wikimedia.org/wiki/Special:FilePath/Anais%20Nin.jpg,Neuilly-sur-Seine,+1903-02-21T00:00:00Z,+1977-01-14T00:00:00Z,,,,doctor honoris causa,10139,Q73
Andrew Barton Paterson,Andrew Barton Paterson,Australia,http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Barton%20%28Banjo%29%20Paterson.jpg,Orange,+1864-02-17T00:00:00Z,+1941-02-05T00:00:00Z,,,,Oficial de la Orden del Imperio Británico,661,Q74
Andrés González-Blanco,Andrés González-Blanco,España,http://commons.wikimedia.org/wiki/Special:FilePath/1911-09-29%2C%20Heraldo%20de%20Madrid%2C%20Andr%C3%A9s%20Gonz%C3%A1lez-Blanco%20%28cropped%29.jpg,Cuenca,+1886-01-01T00:00:00Z,+1924-01-01T00:00:00Z,"Poesía, Novela",,,,19001,Q75
Andrés Manjón,Andrés Manjón,España,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Manj%C3%B3n.png,Sargentes de la Lora,+1846-11-30T00:00:00Z,+1923-07-10T00:00:00Z,,,,Gran Cruz de la Orden Civil de Alfonso XII,34788,Q76
Andrés Piquer,Andrés Piquer,España,http://commons.wikimedia.org/wiki/Special:FilePath/AndresPiquer%20Paraninfo%20Zaragoza.JPG,Herbés,+1711-11-06T00:00:00Z,+1772-08-03T00:00:00Z,,,,,65602,Q77
Andrés Quintana Roo,Andrés Quintana Roo,México,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Quintana%20Roo.JPG,Mérida,+1787-11-30T00:00:00Z,+1851-04-15T00:00:00Z,,,,,785,Q78
Andrés Rivera,Andrés Rivera,Argentina,http://commons.wikimedia.org/wiki/Special:FilePath/Andres%20Rivera%20on%20balcony.jpg,Buenos Aires,+1928-01-01T00:00:00Z,+2016-12-23T00:00:00Z,,,,,15421,Q79
Andrés Saborit,Andrés Saborit,España,http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9s%20Saborit%20Colomer%20%28ca%201923%29%20retrato.png,Alcalá de Henares,+1889-11-01T00:00:00Z,+1980-01-26T00:00:00Z,,,,,37246,Q80
Angélica Palma,Angélica Palma,Perú,http://commons.wikimedia.org/wiki/Special:FilePath/Palma%2C%20Ang%C3%A9lica.jpg,Lima,+1878-11-24T00:00:00Z,+1935-10-25T00:00:00Z,Novela,,,,10214,Q81
Ann Radcliffe,Ann Radcliffe,Reino de Gran Bretaña,http://commons.wikimedia.org/wiki/Special:FilePath/Ann%20Radcliffe.jpg,Holborn,+1764-07-09T00:00:00Z,+1823-02-07T00:00:00Z,"Novela gótica, Literatura gótica",,,,79314,Q82
Anne Bannerman,Anne Bannerman,Reino de Gran Bretaña,http://commons.wikimedia.org/wiki/Special:FilePath/Bannerman-Tales.jpg,Edimburgo,+1765-10-31T00:00:00Z,+1829-09-29T00:00:00Z,,,,,2005,Q83
Anne Brontë,Anne Brontë,Reino Unido de Gran Bretaña e Irlanda,http://commons.wikimedia.org/wiki/Special:FilePath/Anne%20Bront%C3%AB%20by%20Patrick%20Branwell%20Bront%C3%AB%20restored.jpg,Thornton,+1820-01-17T00:00:00Z,+1849-05-28T00:00:00Z,,,"La inquilina de Wildfell Hall, Agnes Grey",,440,Q84
Anthony Trollope,Anthony Trollope,Reino Unido de Gran Bretaña e Irlanda,http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20Trollope%201.jpg,Londres,+1815-04-24T00:00:00Z,+1882-12-06T00:00:00Z,,,,,776,Q85
Antolín López Peláez,Antolín López Peláez,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antol%C3%ADn%20L%C3%B3pez%20Pel%C3%A1ez.jpg,Manzanal del Puerto,+1866-08-31T00:00:00Z,+1918-12-22T00:00:00Z,,,,,15352,Q86
Anton Busquets i Punset,Anton Busquets i Punset,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antoni%20Busquets%20Punset%200919.JPG,Manresa,+1876-10-20T00:00:00Z,+1934-08-19T00:00:00Z,,,,,3687,Q87
Antoni Bulbena i Tussell,Antoni Bulbena i Tussell,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Bulbena%20i%20Tusell.jpg,Barcelona,+1854-07-26T00:00:00Z,+1946-10-10T00:00:00Z,,,,,3483,Q88
Antoni Maria Alcover,Antoni Maria Alcover,España,http://commons.wikimedia.org/wiki/Special:FilePath/Antioni%20M%20Alcover.jpg,Manacor,+1862-02-02T00:00:00Z,+1932-01-08T00:00:00Z,,,Diccionari català-valencià-balear,,5853,Q89
Antonio Alcalá Galiano,Antonio Alcalá Galiano,España,http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Antonio%20Alcal%C3%A1%20Galiano%2C%20ministro%20de%20Fomento%20%28Museo%20del%20Prado%29.jpg,Cádiz,+1789-07-22T00:00:00Z,+1865-04-11T00:00:00Z,,Romanticismo,,,207,Q90
Antonio Almendros Aguilar,Antonio Almendros Aguilar,España,http://commons.wikimedia.org/wiki/Special:FilePath/Ja%C3%A9n%20-%20Estatua%20de%20Antonio%20Almendros%20Aguilar.jpg,Jódar,+1825-01-01T00:00:00Z,+1904-01-01T00:00:00Z,Poesía,,,,90250,Q91
Antonio Altadill,Antonio Altadill,España,http://commons.wikimedia.org/wiki/Special:FilePath/D.%20Antonio%20Altadill%20y%20Teixid%C3%B3.png,Tortosa,+1828-01-01T00:00:00Z,+1880-01-01T00:00:00Z,,,,,41490,Q92
Antonio Aparisi Guijarro,Antonio Aparisi Guijarro,España,http://commons.wikimedia.org/wiki/Special:FilePath/Los%20diputados%20pintados%20por%20sus%20hechos%2C%20Antonio%20Aparici%20y%20Guijarro%20%28cropped%29.jpg,Valencia,+1815-03-29T00:00:00Z,+1872-11-05T00:00:00Z,,,,,66214,Q93
